Iter.,Eval.,Best,ical.rescale,ikr.rescale,IKs.rescale,INa.rescale,INaL.rescale,membrane.c0,Time m:s
202,1827,1.21E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32179.80836
203,1836,1.20E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32332.67415
204,1845,4.26E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32484.13544
205,1854,4.26E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32631.47335
206,1863,4.26E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32784.95504
207,1872,3.43E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32934.80215
208,1881,3.43E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33088.40024
209,1890,3.43E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33238.68252
210,1899,3.43E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33387.03918
211,1908,1.24E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33534.07736
212,1917,1.24E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33685.1573
213,1926,1.24E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33843.62463
214,1935,1.24E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,33994.79945
215,1944,1.24E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,34143.58392
216,1953,1.24E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,34296.80028
217,1962,1.18E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,34445.58504
218,1971,1.11E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,34595.82797
219,1980,1.11E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,34743.24862
220,1989,1.11E-06,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,34895.47919
221,1998,9.91E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35046.18095
222,2007,9.91E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35195.94599
223,2016,9.91E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,35345.67432
